id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
30,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,48,ug.m-3,journaliere,2017/10/19 22:00:00+00,2017/10/20 22:00:00+00,1,651166,6862011
31,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,34,ug.m-3,journaliere,2017/10/20 22:00:00+00,2017/10/21 22:00:00+00,1,651166,6862011
32,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,24,ug.m-3,journaliere,2017/10/21 22:00:00+00,2017/10/22 22:00:00+00,1,651166,6862011
33,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,49,ug.m-3,journaliere,2017/10/22 22:00:00+00,2017/10/23 22:00:00+00,1,651166,6862011
34,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,51,ug.m-3,journaliere,2017/10/23 22:00:00+00,2017/10/24 22:00:00+00,1,651166,6862011
35,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,54,ug.m-3,journaliere,2017/10/24 22:00:00+00,2017/10/25 22:00:00+00,1,651166,6862011
36,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,62,ug.m-3,journaliere,2017/10/25 22:00:00+00,2017/10/26 22:00:00+00,1,651166,6862011
37,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,51,ug.m-3,journaliere,2017/10/26 22:00:00+00,2017/10/27 22:00:00+00,1,651166,6862011
38,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,44,ug.m-3,journaliere,2017/10/27 22:00:00+00,2017/10/28 22:00:00+00,1,651166,6862011
39,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,27,ug.m-3,journaliere,2017/10/28 22:00:00+00,2017/10/29 23:00:00+00,1,651166,6862011
40,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,55,ug.m-3,journaliere,2017/10/29 23:00:00+00,2017/10/30 23:00:00+00,1,651166,6862011
41,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,86,ug.m-3,journaliere,2017/10/30 23:00:00+00,2017/10/31 23:00:00+00,1,651166,6862011
42,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,59,ug.m-3,journaliere,2017/10/31 23:00:00+00,2017/11/01 23:00:00+00,1,651166,6862011
43,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,73,ug.m-3,journaliere,2017/11/01 23:00:00+00,2017/11/02 23:00:00+00,1,651166,6862011
44,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,66,ug.m-3,journaliere,2017/11/02 23:00:00+00,2017/11/03 23:00:00+00,1,651166,6862011
45,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,46,ug.m-3,journaliere,2017/11/03 23:00:00+00,2017/11/04 23:00:00+00,1,651166,6862011
46,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,32,ug.m-3,journaliere,2017/11/04 23:00:00+00,2017/11/05 23:00:00+00,1,651166,6862011
47,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,57,ug.m-3,journaliere,2017/11/05 23:00:00+00,2017/11/06 23:00:00+00,1,651166,6862011
48,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,83,ug.m-3,journaliere,2017/11/06 23:00:00+00,2017/11/07 23:00:00+00,1,651166,6862011
49,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,83,ug.m-3,journaliere,2017/11/07 23:00:00+00,2017/11/08 23:00:00+00,1,651166,6862011
50,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,61,ug.m-3,journaliere,2017/11/08 23:00:00+00,2017/11/09 23:00:00+00,1,651166,6862011
51,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,52,ug.m-3,journaliere,2017/11/09 23:00:00+00,2017/11/10 23:00:00+00,1,651166,6862011
52,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,40,ug.m-3,journaliere,2017/11/10 23:00:00+00,2017/11/11 23:00:00+00,1,651166,6862011
53,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,30,ug.m-3,journaliere,2017/11/11 23:00:00+00,2017/11/12 23:00:00+00,1,651166,6862011
54,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,39,ug.m-3,journaliere,2017/11/12 23:00:00+00,2017/11/13 23:00:00+00,1,651166,6862011
55,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,66,ug.m-3,journaliere,2017/11/13 23:00:00+00,2017/11/14 23:00:00+00,1,651166,6862011
56,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,61,ug.m-3,journaliere,2017/11/14 23:00:00+00,2017/11/15 23:00:00+00,1,651166,6862011
57,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,72,ug.m-3,journaliere,2017/11/15 23:00:00+00,2017/11/16 23:00:00+00,1,651166,6862011
58,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,63,ug.m-3,journaliere,2017/11/16 23:00:00+00,2017/11/17 23:00:00+00,1,651166,6862011
59,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,61,ug.m-3,journaliere,2017/11/17 23:00:00+00,2017/11/18 23:00:00+00,1,651166,6862011
