Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

05.08.2019;21;46;78;
06.08.2019;17;40;67;
07.08.2019;17;40;67;
08.08.2019;12;30;49;
09.08.2019;19;44;72;
10.08.2019;11;23;39;
11.08.2019;13;31;51;
12.08.2019;15;33;56;
13.08.2019;9;20;33;
14.08.2019;11;30;47;
15.08.2019;25;44;82;
16.08.2019;12;27;46;
17.08.2019;16;35;60;
18.08.2019;14;24;46;
19.08.2019;17;33;59;
20.08.2019;23;43;78;
21.08.2019;11;36;53;
22.08.2019;27;56;97;
23.08.2019;19;52;81;
24.08.2019;17;40;66;
25.08.2019;12;25;43;
26.08.2019;16;46;71;
27.08.2019;19;50;79;
28.08.2019;19;55;84;
29.08.2019;7;30;41;
30.08.2019;11;37;53;
31.08.2019;16;47;71;
01.09.2019;4;17;23;
02.09.2019;7;23;34;
03.09.2019;18;38;65;
04.09.2019;24;50;87;
05.09.2019;8;22;35;
06.09.2019;21;36;68;
07.09.2019;19;41;71;
08.09.2019;10;23;39;
09.09.2019;12;29;48;
10.09.2019;7;24;34;
11.09.2019;31;53;100;
12.09.2019;19;34;63;
13.09.2019;10;23;39;
14.09.2019;15;33;55;
15.09.2019;7;21;30;
16.09.2019;9;24;39;
17.09.2019;7;17;28;
18.09.2019;7;16;27;
19.09.2019;9;25;38;
20.09.2019;11;29;46;
21.09.2019;24;46;82;
22.09.2019;19;43;73;
23.09.2019;25;52;90;
24.09.2019;24;48;86;
25.09.2019;30;49;95;
26.09.2019;38;45;103;
27.09.2019;31;40;88;
28.09.2019;15;25;49;
29.09.2019;12;18;37;
30.09.2019;7;16;27;
01.10.2019;24;29;65;
02.10.2019;11;25;42;
03.10.2019;7;16;27;
04.10.2019;35;39;93;
05.10.2019;12;21;40;
06.10.2019;18;29;57;
07.10.2019;49;51;126;
08.10.2019;32;36;85;
09.10.2019;22;29;63;
10.10.2019;14;26;47;
11.10.2019;18;25;53;
12.10.2019;13;27;47;
13.10.2019;15;29;51;
14.10.2019;19;35;64;
15.10.2019;33;50;100;
16.10.2019;15;31;54;
