Station;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

20.07.2019;22;13;42;61
21.07.2019;18;10;25;41
22.07.2019;21;19;40;69
23.07.2019;23;15;36;60
24.07.2019;24;11;30;47
25.07.2019;25;10;25;41
26.07.2019;20;4;17;23
27.07.2019;22;2;14;17
28.07.2019;21;1;20;23
29.07.2019;30;17;50;76
30.07.2019;30;29;37;81
31.07.2019;22;21;41;72
01.08.2019;16;18;37;64
02.08.2019;21;18;43;71
03.08.2019;16;9;28;42
04.08.2019;15;9;25;40
05.08.2019;28;36;59;115
06.08.2019;24;28;51;93
07.08.2019;23;43;57;123
08.08.2019;21;35;48;101
09.08.2019;22;28;53;96
10.08.2019;18;23;36;72
11.08.2019;18;15;38;61
12.08.2019;20;34;45;96
13.08.2019;16;31;41;88
14.08.2019;17;29;47;91
15.08.2019;26;35;48;101
16.08.2019;19;37;44;101
17.08.2019;20;21;38;71
18.08.2019;11;16;24;49
19.08.2019;18;45;49;118
20.08.2019;22;44;61;127
21.08.2019;18;27;51;92
22.08.2019;22;25;57;96
23.08.2019;26;16;47;71
24.08.2019;26;4;28;35
25.08.2019;19;3;20;25
26.08.2019;32;9;40;53
27.08.2019;31;22;57;91
28.08.2019;31;30;66;112
29.08.2019;22;23;54;88
30.08.2019;25;5;31;39
31.08.2019;26;14;52;73
01.09.2019;23;11;29;46
02.09.2019;16;28;40;84
03.09.2019;22;39;53;112
04.09.2019;30;32;57;106
05.09.2019;17;39;39;99
06.09.2019;18;45;50;119
07.09.2019;22;26;47;87
08.09.2019;14;5;22;29
09.09.2019;11;17;32;58
10.09.2019;15;39;52;111
11.09.2019;21;41;59;121
12.09.2019;17;51;48;125
13.09.2019;17;29;34;79
14.09.2019;17;34;49;100
15.09.2019;15;18;35;62
16.09.2019;21;47;45;117
17.09.2019;14;39;37;96
18.09.2019;15;36;37;92
19.09.2019;15;43;47;113
20.09.2019;16;53;56;136
21.09.2019;22;40;60;120
22.09.2019;20;9;33;47
23.09.2019;28;20;48;78
24.09.2019;36;41;49;112
25.09.2019;25;56;50;135
26.09.2019;18;60;51;143
27.09.2019;15;59;51;142
28.09.2019;14;43;40;105
29.09.2019;10;18;23;50
30.09.2019;9;42;38;102
01.10.2019;12;51;43;120
02.10.2019;10;54;46;128
03.10.2019;9;22;25;58
04.10.2019;13;40;37;98
05.10.2019;14;9;21;35
06.10.2019;13;9;24;38
07.10.2019;21;57;62;150
08.10.2019;16;62;47;141
09.10.2019;16;49;44;119
10.10.2019;13;51;45;122
11.10.2019;13;37;34;91
12.10.2019;16;41;46;108
13.10.2019;21;19;35;64
14.10.2019;22;32;44;94
15.10.2019;41;40;55;116
16.10.2019;21;55;45;129
17.10.2019;17;52;46;125
18.10.2019;14;47;44;116
19.10.2019;14;36;41;95
20.10.2019;22;25;39;77
21.10.2019;39;89;49;185
22.10.2019;26;80;53;175
23.10.2019;33;25;34;72
