Station;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

25.08.2020;14;2;18;21;56;0.5;1.5
26.08.2020;10;1;14;16;48;0.3;1.1
27.08.2020;11;3;20;25;49;0.6;1.9
28.08.2020;15;4;32;38;36;0.8;2.3
29.08.2020;14;4;22;28;45;0.7;2.4
30.08.2020;18;3;19;23;41;0.9;2.7
31.08.2020;12;3;16;21;46;0.5;1.6
01.09.2020;9;3;16;21;42;0.4;1.2
02.09.2020;10;5;24;31;29;0.7;2.5
03.09.2020;13;4;20;27;56;0.7;2.6
04.09.2020;12;3;20;24;41;0.6;1.8
05.09.2020;14;3;18;22;36;0.7;2.1
06.09.2020;11;2;13;15;46;0.4;1.3
07.09.2020;11;6;25;33;36;0.7;2.7
08.09.2020;15;4;23;29;40;0.6;1.9
09.09.2020;16;6;20;28;36;0.6;1.9
10.09.2020;14;9;24;38;36;0.8;2.5
11.09.2020;22;10;35;51;36;1.0;3.5
12.09.2020;20;4;24;31;58;0.8;2.8
13.09.2020;19;5;24;31;45;0.8;3.2
14.09.2020;30;13;48;67;45;1.3;6.3
15.09.2020;36;9;40;54;55;1.3;4.4
16.09.2020;30;6;33;42;70;1.0;4.4
17.09.2020;14;2;11;15;52;0.4;1.1
18.09.2020;16;2;22;25;42;0.6;1.6
19.09.2020;18;1;15;16;59;0.6;1.3
20.09.2020;21;1;11;12;74;0.7;1.0
21.09.2020;27;2;26;29;64;1.1;2.5
22.09.2020;54;14;49;70;51;2.1;5.9
23.09.2020;44;9;55;70;52;1.7;7.7
24.09.2020;32;6;33;43;50;0.9;2.9
25.09.2020;15;9;39;53;21;1.0;2.9
26.09.2020;12;3;18;23;32;0.7;1.7
27.09.2020;9;2;18;20;30;0.6;1.3
28.09.2020;10;6;21;29;34;0.6;1.3
29.09.2020;16;12;37;55;25;1.3;3.8
30.09.2020;22;18;39;66;27;1.4;4.2
01.10.2020;28;7;22;33;23;1.0;2.5
02.10.2020;33;2;12;15;28;0.8;1.2
03.10.2020;25;2;12;15;41;0.9;1.2
04.10.2020;10;2;19;22;43;0.7;1.4
05.10.2020;14;4;24;30;23;0.7;1.6
06.10.2020;9;3;18;22;31;0.5;1.0
07.10.2020;10;4;22;28;25;0.6;1.4
08.10.2020;13;3;17;21;34;0.6;1.1
09.10.2020;9;3;20;25;35;0.7;1.6
10.10.2020;14;2;20;23;34;0.7;1.6
11.10.2020;13;1;20;22;32;0.7;1.2
12.10.2020;15;13;32;52;21;1.0;2.4
13.10.2020;17;30;27;73;23;1.5;3.3
14.10.2020;6;2;13;17;45;0.6;1.4
15.10.2020;7;3;12;16;43;0.6;1.4
16.10.2020;8;3;15;20;38;0.6;1.3
17.10.2020;14;3;16;22;32;0.8;1.4
18.10.2020;16;2;17;20;29;0.7;1.4
19.10.2020;16;6;31;41;23;0.9;2.1
20.10.2020;24;7;26;37;16;1.0;1.7
21.10.2020;25;6;27;36;15;1.0;1.7
