Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol;Kohlenmonoxid;Schwefeldioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

06.06.2020;11;7;16;26;61;0.4;1.3;0.2;
07.06.2020;12;5;18;26;50;0.5;1.5;0.2;
08.06.2020;15;11;25;43;65;;;0.2;
09.06.2020;14;3;13;17;77;;;0.2;
10.06.2020;15;2;10;13;81;0.4;0.8;0.2;
11.06.2020;28;4;17;24;44;0.5;1.3;0.2;
12.06.2020;20;4;13;19;64;0.4;0.9;0.2;
13.06.2020;27;2;13;17;71;0.5;1.1;0.2;
14.06.2020;21;1;7;8;64;0.3;0.8;0.2;
15.06.2020;18;4;12;18;67;0.3;0.9;0.2;
16.06.2020;20;9;27;40;69;0.6;1.9;0.2;
17.06.2020;24;5;23;31;84;0.6;1.7;0.2;
18.06.2020;23;2;13;16;86;0.3;0.8;0.2;
19.06.2020;20;9;24;37;66;0.5;1.4;0.2;
20.06.2020;15;4;14;20;64;0.4;0.9;0.2;
21.06.2020;13;2;10;12;64;0.3;0.9;0.2;
22.06.2020;15;12;28;47;57;0.6;2.0;0.2;
23.06.2020;13;3;13;18;64;0.3;0.9;0.2;
24.06.2020;18;3;14;19;69;0.3;1.0;0.2;
25.06.2020;25;13;30;49;61;0.8;2.0;0.3;
26.06.2020;;9;28;41;70;0.7;1.9;0.3;
27.06.2020;;6;23;32;87;0.6;1.9;0.3;
28.06.2020;;4;15;21;59;0.5;1.7;0.2;
29.06.2020;;15;30;53;52;;;0.3;
30.06.2020;;17;29;55;60;0.7;2.3;0.3;
01.07.2020;14;17;25;51;40;0.7;2.3;0.2;
02.07.2020;18;19;28;56;44;0.7;2.4;0.3;
03.07.2020;19;17;30;57;54;0.8;2.5;0.3;
04.07.2020;18;6;17;26;67;0.5;1.7;0.2;
05.07.2020;12;5;11;18;44;0.5;1.5;0.2;
06.07.2020;16;19;25;54;43;0.7;2.0;0.3;
07.07.2020;15;20;26;56;47;0.6;1.9;0.3;
08.07.2020;14;22;32;66;42;0.8;2.6;0.3;
09.07.2020;18;22;29;62;26;0.8;2.8;0.3;
10.07.2020;15;22;25;59;30;0.7;2.7;0.3;
11.07.2020;10;9;18;32;48;0.6;1.4;0.2;
12.07.2020;9;3;10;14;54;0.3;1.0;0.2;
13.07.2020;23;14;26;48;50;0.6;1.9;0.2;
14.07.2020;38;14;33;55;61;0.8;2.6;0.3;
15.07.2020;17;5;22;30;57;0.5;1.3;0.2;
16.07.2020;13;8;19;31;41;0.4;1.3;0.2;
17.07.2020;19;17;31;57;29;0.9;2.9;0.3;
18.07.2020;26;7;25;35;52;1.0;3.1;0.3;
19.07.2020;28;4;22;28;71;0.9;2.9;0.3;
20.07.2020;20;7;21;32;55;0.7;1.6;0.2;
21.07.2020;12;9;18;32;50;0.5;1.5;0.2;
22.07.2020;13;12;22;40;52;0.5;1.5;0.2;
23.07.2020;15;12;29;48;47;0.7;2.3;0.3;
24.07.2020;25;10;30;46;65;0.7;2.1;0.3;
25.07.2020;17;5;22;30;57;0.6;2.0;0.2;
26.07.2020;20;6;21;30;46;0.7;2.2;0.3;
27.07.2020;20;15;30;53;39;0.8;3.4;0.3;
28.07.2020;22;12;27;46;55;0.5;1.9;0.2;
29.07.2020;21;12;25;44;56;0.5;1.5;0.2;
30.07.2020;21;15;24;46;54;0.5;1.4;0.2;
31.07.2020;19;8;21;32;64;0.4;1.3;0.2;
01.08.2020;22;5;20;29;63;0.6;1.8;0.2;
02.08.2020;19;5;20;28;54;0.6;1.8;0.2;
03.08.2020;16;3;12;17;46;0.3;0.8;0.2;
04.08.2020;15;3;17;21;50;0.4;1.1;0.2;
05.08.2020;27;14;32;53;55;0.8;2.5;0.3;
06.08.2020;24;10;31;46;69;0.7;2.4;0.3;
07.08.2020;36;7;37;48;72;1.0;3.5;0.3;
08.08.2020;48;4;38;44;86;1.1;3.8;0.4;
09.08.2020;40;3;22;26;95;0.7;2.3;0.3;
10.08.2020;48;7;27;39;79;0.6;1.7;0.3;
11.08.2020;44;4;16;22;82;0.5;1.1;0.2;
12.08.2020;38;7;22;32;75;;;0.2;
13.08.2020;43;13;41;61;78;3.4;2.6;0.3;
14.08.2020;28;9;37;51;76;0.8;2.6;0.3;
15.08.2020;30;3;26;31;93;0.8;2.3;0.3;
16.08.2020;24;3;18;23;86;0.6;1.7;0.3;
17.08.2020;33;9;32;45;80;4.4;2.2;0.3;
18.08.2020;18;5;24;32;75;1.7;1.7;0.2;
19.08.2020;18;7;24;35;65;0.9;1.9;0.3;
20.08.2020;29;13;42;61;51;1.1;3.9;0.3;
21.08.2020;31;10;37;51;65;0.9;3.7;0.3;
22.08.2020;21;5;24;31;51;0.7;2.7;0.3;
23.08.2020;13;5;17;25;61;0.5;1.5;0.2;
24.08.2020;15;13;23;43;49;0.6;1.7;0.2;
25.08.2020;17;14;27;48;49;0.6;2.0;0.3;
26.08.2020;12;11;21;38;43;0.5;1.4;0.2;
27.08.2020;13;14;27;48;45;0.7;1.9;0.3;
28.08.2020;33;15;35;59;32;0.8;2.7;0.3;
29.08.2020;17;9;28;43;40;0.8;2.7;0.3;
30.08.2020;19;4;21;28;43;0.8;2.5;0.3;
31.08.2020;13;5;18;26;48;0.5;1.3;0.2;
01.09.2020;10;4;16;22;43;0.4;1.1;0.2;
02.09.2020;11;21;33;66;27;1.1;2.4;0.3;
03.09.2020;17;22;34;68;48;0.9;2.4;0.3;
04.09.2020;16;17;29;55;34;1.1;2.9;0.3;
05.09.2020;14;11;27;44;32;1.0;2.4;0.3;
06.09.2020;11;8;20;33;44;0.9;2.0;0.3;
07.09.2020;17;23;37;71;30;1.2;2.8;0.3;
08.09.2020;20;17;34;60;32;1.0;2.6;0.3;
09.09.2020;24;20;29;60;29;1.1;3.1;0.3;
10.09.2020;18;25;31;69;33;1.2;2.7;0.3;
11.09.2020;30;23;41;76;31;1.5;3.7;0.4;
12.09.2020;27;17;35;61;47;1.6;4.5;0.4;
13.09.2020;25;13;31;51;39;1.6;4.1;0.4;
14.09.2020;43;28;61;103;31;2.0;6.1;0.5;
15.09.2020;43;17;56;82;40;;;0.5;
16.09.2020;37;15;41;63;67;1.1;3.7;0.3;
17.09.2020;12;2;9;12;53;0.3;0.7;0.2;
18.09.2020;23;20;37;68;32;0.9;2.6;0.3;
19.09.2020;25;7;25;37;53;0.8;1.9;0.3;
20.09.2020;28;2;17;20;72;0.7;1.3;0.2;
21.09.2020;40;14;44;65;50;1.1;3.0;0.4;
22.09.2020;59;19;56;85;44;1.5;5.1;0.5;
23.09.2020;62;16;61;86;50;1.4;4.9;0.5;
24.09.2020;39;15;41;63;42;1.2;3.5;0.3;
25.09.2020;20;29;44;89;20;1.2;3.3;0.4;
26.09.2020;13;8;22;34;30;0.7;1.6;0.3;
27.09.2020;10;8;21;34;28;0.8;1.8;0.3;
28.09.2020;15;26;34;73;23;1.0;2.7;0.3;
29.09.2020;18;14;34;55;30;1.1;2.7;0.3;
30.09.2020;27;20;38;68;31;1.1;3.1;0.4;
01.10.2020;34;17;31;57;18;1.3;2.9;0.3;
02.10.2020;41;20;24;54;19;1.1;2.6;0.4;
03.10.2020;29;5;20;28;35;1.2;2.2;0.4;
04.10.2020;12;6;23;32;41;0.8;1.9;0.3;
05.10.2020;20;24;36;72;16;1.0;2.5;0.3;
06.10.2020;13;17;27;53;23;0.7;2.1;0.3;
07.10.2020;13;24;33;71;18;0.9;2.6;0.3;
08.10.2020;15;15;24;46;29;0.7;1.8;0.3;
09.10.2020;13;22;33;67;26;1.0;2.5;0.3;
10.10.2020;16;10;27;42;31;0.9;2.3;0.3;
11.10.2020;15;9;27;41;24;0.9;2.1;0.3;
12.10.2020;18;31;39;86;19;0.9;2.2;0.4;
13.10.2020;23;52;30;109;23;;;0.5;
14.10.2020;6;2;10;14;51;0.4;0.6;0.2;
15.10.2020;7;1;12;14;47;0.5;0.7;0.2;
16.10.2020;9;3;16;21;38;0.5;0.8;0.2;
17.10.2020;15;7;18;29;32;0.8;1.4;0.3;
18.10.2020;17;12;24;43;27;0.8;1.7;0.3;
19.10.2020;20;36;43;98;19;1.3;3.4;0.4;
20.10.2020;30;30;33;79;11;1.4;3.2;0.4;
21.10.2020;31;29;35;80;10;1.5;3.2;0.4;
