Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte

24.08.2019;2;20;23
25.08.2019;1;12;13
26.08.2019;1;27;30
27.08.2019;2;27;30
28.08.2019;1;25;27
29.08.2019;1;20;22
30.08.2019;1;19;19
31.08.2019;0;18;18
01.09.2019;0;10;10
02.09.2019;1;13;15
03.09.2019;4;23;29
04.09.2019;2;27;29
05.09.2019;1;9;10
06.09.2019;1;21;22
07.09.2019;2;29;32
08.09.2019;1;15;17
09.09.2019;1;18;20
10.09.2019;1;14;15
11.09.2019;7;32;42
12.09.2019;2;19;22
13.09.2019;2;19;22
14.09.2019;4;26;31
15.09.2019;1;15;16
16.09.2019;1;12;15
17.09.2019;1;12;14
18.09.2019;1;11;13
19.09.2019;2;19;22
20.09.2019;1;20;22
21.09.2019;4;34;41
22.09.2019;1;26;28
23.09.2019;4;31;37
24.09.2019;2;28;30
25.09.2019;7;28;40
26.09.2019;12;26;44
27.09.2019;3;27;32
28.09.2019;1;18;18
29.09.2019;1;12;13
30.09.2019;1;9;10
01.10.2019;3;20;25
02.10.2019;2;16;19
03.10.2019;3;12;16
04.10.2019;14;26;47
05.10.2019;2;18;20
06.10.2019;2;25;29
07.10.2019;25;47;85
08.10.2019;5;25;32
09.10.2019;3;18;23
10.10.2019;1;16;17
11.10.2019;2;16;19
12.10.2019;3;19;23
13.10.2019;2;18;20
14.10.2019;4;23;29
15.10.2019;8;37;49
16.10.2019;1;23;25
17.10.2019;4;28;34
18.10.2019;5;20;27
19.10.2019;2;25;27
20.10.2019;7;27;37
21.10.2019;29;34;78
22.10.2019;13;29;48
23.10.2019;14;32;53
24.10.2019;8;31;44
25.10.2019;9;29;42
26.10.2019;1;18;20
27.10.2019;0;11;12
28.10.2019;2;15;19
29.10.2019;4;32;38
30.10.2019;23;55;91
31.10.2019;34;50;102
01.11.2019;8;33;45
02.11.2019;4;23;29
03.11.2019;7;20;31
04.11.2019;14;28;49
