Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

23.07.2019;18;2;17;20
24.07.2019;19;2;15;18
25.07.2019;22;2;16;19
26.07.2019;17;1;8;10
27.07.2019;23;1;7;9
28.07.2019;18;1;9;10
29.07.2019;26;2;25;27
30.07.2019;24;3;17;21
31.07.2019;18;3;20;24
01.08.2019;12;4;19;26
02.08.2019;15;3;27;31
03.08.2019;11;1;15;16
04.08.2019;11;2;15;18
05.08.2019;17;4;27;33
06.08.2019;17;3;24;28
07.08.2019;17;5;30;37
08.08.2019;15;3;22;27
09.08.2019;17;3;26;31
10.08.2019;12;4;18;24
11.08.2019;14;3;25;29
12.08.2019;15;2;18;21
13.08.2019;11;3;16;20
14.08.2019;14;4;29;35
15.08.2019;20;3;26;31
16.08.2019;15;4;23;29
17.08.2019;18;4;25;31
18.08.2019;9;3;16;21
19.08.2019;14;9;29;43
20.08.2019;18;12;40;59
21.08.2019;14;3;29;33
22.08.2019;21;3;33;38
23.08.2019;21;3;27;32
24.08.2019;20;1;16;18
25.08.2019;16;1;12;13
26.08.2019;26;2;24;27
27.08.2019;27;2;23;26
28.08.2019;33;3;31;36
29.08.2019;21;2;25;28
30.08.2019;20;1;14;15
31.08.2019;23;2;19;22
01.09.2019;20;1;15;17
02.09.2019;12;4;15;21
03.09.2019;18;4;28;33
04.09.2019;26;4;31;37
05.09.2019;16;3;14;20
06.09.2019;18;3;26;31
07.09.2019;18;5;31;38
08.09.2019;10;1;12;13
09.09.2019;8;2;18;21
10.09.2019;12;4;22;28
11.09.2019;16;5;34;42
12.09.2019;14;6;28;37
13.09.2019;14;4;22;28
14.09.2019;17;9;30;43
15.09.2019;13;4;22;28
16.09.2019;20;4;19;26
17.09.2019;12;4;17;23
18.09.2019;12;3;15;19
19.09.2019;11;7;23;33
20.09.2019;13;5;25;32
21.09.2019;21;16;45;70
22.09.2019;19;2;22;24
23.09.2019;25;3;26;31
24.09.2019;32;3;29;34
25.09.2019;21;11;31;49
26.09.2019;15;11;31;49
27.09.2019;11;7;31;42
28.09.2019;11;6;22;31
29.09.2019;9;4;14;19
30.09.2019;7;3;12;17
01.10.2019;10;5;21;28
02.10.2019;7;3;19;24
03.10.2019;7;2;14;17
04.10.2019;11;12;21;39
05.10.2019;10;1;11;13
06.10.2019;10;2;17;20
07.10.2019;17;24;48;84
08.10.2019;13;7;29;40
09.10.2019;13;6;24;33
10.10.2019;10;5;21;29
11.10.2019;11;6;22;30
12.10.2019;13;12;29;48
13.10.2019;19;9;30;44
14.10.2019;18;7;27;38
15.10.2019;36;14;39;60
16.10.2019;19;6;29;38
17.10.2019;13;6;29;37
18.10.2019;11;5;26;34
19.10.2019;11;5;27;34
20.10.2019;21;11;35;52
21.10.2019;34;40;37;97
22.10.2019;19;13;36;55
23.10.2019;29;12;30;48
24.10.2019;50;8;24;36
25.10.2019;21;12;31;50
26.10.2019;13;3;18;22
27.10.2019;11;2;15;17
28.10.2019;11;4;22;29
29.10.2019;13;4;28;34
30.10.2019;13;15;46;69
31.10.2019;26;20;46;77
01.11.2019;32;6;30;40
02.11.2019;14;5;24;32
03.11.2019;19;5;21;29
04.11.2019;15;13;30;50
05.11.2019;10;5;28;36
06.11.2019;12;7;27;38
07.11.2019;17;14;31;51
08.11.2019;24;22;31;64
09.11.2019;24;5;26;33
10.11.2019;24;6;31;41
11.11.2019;24;9;28;42
12.11.2019;21;7;29;39
13.11.2019;22;9;36;50
14.11.2019;23;8;26;39
15.11.2019;31;3;18;22
16.11.2019;27;7;27;38
17.11.2019;26;4;22;28
18.11.2019;23;7;26;37
19.11.2019;11;5;27;35
20.11.2019;19;4;31;37
21.11.2019;38;7;22;33
22.11.2019;29;11;25;41
23.11.2019;36;3;17;22
24.11.2019;38;3;14;18
25.11.2019;46;9;19;33
26.11.2019;29;13;25;46
27.11.2019;19;8;30;41
28.11.2019;8;1;18;20
29.11.2019;9;2;18;21
30.11.2019;13;6;30;39
01.12.2019;22;3;28;33
02.12.2019;15;4;25;32
03.12.2019;16;13;36;55
04.12.2019;22;13;35;55
05.12.2019;29;18;39;68
06.12.2019;23;6;35;43
07.12.2019;9;3;17;22
08.12.2019;8;1;13;15
09.12.2019;10;2;22;24
10.12.2019;15;4;31;38
11.12.2019;17;2;30;33
12.12.2019;20;9;33;47
13.12.2019;26;9;30;43
14.12.2019;11;3;23;27
15.12.2019;8;1;17;18
16.12.2019;17;30;46;92
17.12.2019;22;18;41;69
18.12.2019;16;20;42;72
19.12.2019;29;14;31;52
20.12.2019;29;10;36;52
21.12.2019;19;8;35;48
22.12.2019;25;4;24;30
23.12.2019;14;3;23;28
24.12.2019;13;1;18;20
25.12.2019;10;0;13;14
26.12.2019;9;1;17;19
27.12.2019;8;5;17;25
28.12.2019;7;2;20;23
29.12.2019;14;5;29;37
30.12.2019;13;3;32;37
31.12.2019;19;2;20;23
01.01.2020;48;8;27;38
02.01.2020;25;14;45;67
03.01.2020;13;1;23;25
04.01.2020;11;0;13;13
05.01.2020;14;2;26;29
06.01.2020;17;1;28;30
07.01.2020;21;7;33;44
08.01.2020;13;2;28;30
