Date;Raw_industrial;Raw_manufacturing
2000-03;120.09;122.17
2000-02;107.84;108.14
2000-01;106.03;104.06
1999-12;114.44;114.25
1999-11;110.94;111.56
1999-10;112.68;115.7
1999-09;111.19;115.75
1999-08;76.98;76.59
1999-07;103.29;106.35
1999-06;115.31;120.88
1999-05;97.84;100.48
1999-04;103.77;105.52
1999-03;113.47;115.29
1999-02;99.8;98.98
1999-01;99.68;97.86
1998-12;108.69;107.94
1998-11;106.19;106.21
1998-10;110.39;113.28
1998-09;107.52;112.25
1998-08;72.84;72.68
1998-07;103.09;106.75
1998-06;110.43;115.46
1998-05;95.99;98.21
1998-04;102.93;104.42
1998-03;108.84;110.07
1998-02;99.31;99.31
1998-01;100.72;98.83
1997-12;106.87;106.81
1997-11;99.75;100.17
1997-10;111.66;114.84
1997-09;104.01;107.94
1997-08;71.9;71.06
1997-07;98.43;101.11
1997-06;104.52;108.76
1997-05;92.09;93.77
1997-04;101.59;103.42
1997-03;98.62;99.8
1997-02;92.63;92.03
1997-01;96.3;92.73
1996-12;98.88;96.67
1996-11;96.33;95.69
1996-10;103.62;105.68
1996-09;96.81;99.5
1996-08;67.97;66.82
1996-07;94.51;96.66
1996-06;98.96;102.39
1996-05;90.08;91.0
1996-04;94.08;94.86
1996-03;99.43;98.79
1996-02;94.1;91.73
1996-01;95.19;92.59
1995-12;96.59;94.99
1995-11;97.71;97.77
1995-10;99.44;102.1
1995-09;96.47;99.4
1995-08;68.74;67.48
1995-07;89.65;91.27
1995-06;100.72;104.38
1995-05;90.82;92.33
1995-04;90.68;91.07
1995-03;103.52;103.6
1995-02;90.84;90.77
1995-01;95.46;92.62
1994-12;99.23;98.62
1994-11;96.48;97.57
1994-10;97.05;98.75
1994-09;95.98;98.98
1994-08;67.06;66.09
1994-07;86.44;87.9
1994-06;99.58;103.64
1994-05;87.25;88.91
1994-04;89.19;88.93
1994-03;96.88;97.72
1994-02;85.94;84.3
1994-01;87.36;84.17
1993-12;94.0;92.4
1993-11;90.67;88.85
1993-10;92.69;93.56
1993-09;91.78;94.4
1993-08;62.81;61.68
1993-07;84.48;86.04
1993-06;94.84;98.48
1993-05;81.69;82.84
1993-04;88.15;88.98
1993-03;96.36;96.34
1993-02;86.46;84.67
1993-01;85.64;83.01
1992-12;94.15;93.12
1992-11;92.3;92.6
1992-10;97.84;99.22
1992-09;93.92;97.42
1992-08;63.94;63.22
1992-07;88.68;91.13
1992-06;97.6;102.08
1992-05;84.89;86.82
1992-04;93.15;94.43
1992-03;99.29;100.33
1992-02;90.66;89.84
1992-01;94.15;91.53
1991-12;94.64;93.0
1991-11;94.63;94.81
1991-10;101.55;104.29
1991-09;93.69;97.67
1991-08;65.04;64.87
1991-07;91.02;94.11
1991-06;96.69;101.22
1991-05;86.85;88.29
1991-04;92.7;94.53
1991-03;96.41;98.37
1991-02;91.16;90.03
1991-01;94.64;93.26
1990-12;91.54;89.9
1990-11;96.23;97.5
1990-10;101.73;105.89
1990-09;92.41;96.6
1990-08;66.63;67.25
1990-07;89.89;93.67
1990-06;96.5;101.65
1990-05;90.12;94.09
1990-04;91.7;93.8
1990-03;99.7;103.02
1990-02;90.64;93.08
1990-01;93.1;92.92
