,year,month,week,cc_pays,cc_departement,cc_region,cc_ville,longitude,latitude,NO2,quality,hour_mean,hour_std,dayofweek_mean,dayofweek_std,day_mean,day_std,counter
31,2019,3,10,AF,Undefined,Farah,Kushkak,61.5650232,32.3442409,1.0216908094999996e-05,1.0,9.0,0.0,2,0.0,6,0.0,40
32,2019,3,10,AF,Undefined,Farah,Lash-e Juwayn,61.62927693103446,31.69808308620691,1.2314079044827584e-05,1.0,9.0,0.0,2,0.0,6,0.0,58
33,2019,3,10,AF,Undefined,Farah,Markaz-e Hukumat-e Sultan-e Bakwah,62.978664487179486,32.24315115384615,1.7625641256410258e-05,1.0,9.0,0.0,2,0.0,6,0.0,39
34,2019,3,10,AF,Undefined,Farah,Qal`ah-ye Kuhnah,63.58409425,32.8097725,1.623481625e-05,1.0,9.0,0.0,2,0.0,6,0.0,4
35,2019,3,10,AF,Undefined,Faryab,Lash,64.90051989999999,35.3999353,4.29321813e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,10
36,2019,3,10,AF,Undefined,Faryab,Sar Chakan,65.17501,35.460916499999996,3.90032095e-06,0.88,9.0,0.0,2,0.0,6,0.0,2
37,2019,3,10,AF,Undefined,Ghazni,Ghazni,68.450767,33.5261785,4.4938483499999995e-06,0.88,9.0,0.0,2,0.0,6,0.0,2
38,2019,3,10,AF,Undefined,Ghazni,Miray,68.41988178571428,33.25727707142857,2.8510225604285716e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,14
39,2019,3,10,AF,Undefined,Ghazni,Muqer,67.8107325,32.7997994,5.072257190000001e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,10
40,2019,3,10,AF,Undefined,Ghazni,Okak,67.96918,33.788555,1.3860000999999999e-06,0.83499998,9.0,0.0,2,0.0,6,0.0,2
41,2019,3,10,AF,Undefined,Ghazni,Qarah Bagh,68.0536372,33.20638295,2.72839408e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,20
42,2019,3,10,AF,Undefined,Ghazni,Ramak,68.66963105555556,33.536084333333335,2.792380287222222e-06,0.8800000000000003,9.0,0.0,2,0.0,6,0.0,18
43,2019,3,10,AF,Undefined,Ghazni,Sang-e Mashah,67.44095227272727,33.17252386363636,4.9839175136363625e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,44
44,2019,3,10,AF,Undefined,Ghazni,Sarfiraz Kala,67.96653647619047,32.99403080952381,4.2640118571428575e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,21
45,2019,3,10,AF,Undefined,Ghazni,Tormay,68.52488299999999,33.6785125,3.5287156499999996e-06,0.88,9.0,0.0,2,0.0,6,0.0,2
46,2019,3,10,AF,Undefined,Ghazni,`Alaqahdari Gelan,67.59430817647059,32.69130464705882,7.362574388235294e-06,0.8800000000000003,9.0,0.0,2,0.0,6,0.0,17
47,2019,3,10,AF,Undefined,Ghowr,Dowlatyar,65.79002153571427,34.55285642857143,4.492556428571429e-06,0.8799999999999999,9.0,0.0,2,0.0,6,0.0,28
48,2019,3,10,AF,Undefined,Ghowr,Du Lainah,64.82273771428572,34.17109808571429,3.7931259428571423e-06,0.8799999999999997,9.0,0.0,2,0.0,6,0.0,35
49,2019,3,10,AF,Undefined,Ghowr,Fayroz Koh,65.25197440000001,34.528475771428575,4.1175078457142855e-06,0.8799999999999997,9.0,0.0,2,0.0,6,0.0,35
50,2019,3,10,AF,Undefined,Ghowr,La`l,66.2023051,34.4994317,4.812536260000001e-06,0.8709999959999999,9.0,0.0,2,0.0,6,0.0,10
51,2019,3,10,AF,Undefined,Ghowr,Pasaband,64.9030090689655,33.689488068965524,6.73149820689655e-06,0.8799999999999999,9.0,0.0,2,0.0,6,0.0,29
52,2019,3,10,AF,Undefined,Ghowr,Shahrak,64.32704329032256,34.07699887096774,4.8664735483870975e-06,0.8799999999999998,9.0,0.0,2,0.0,6,0.0,31
53,2019,3,10,AF,Undefined,Ghowr,Taywarah,64.43221899999999,33.55108668,9.026736976e-06,0.88,9.0,0.0,2,0.0,6,0.0,25
54,2019,3,10,AF,Undefined,Ghowr,Titan,63.914750300000016,33.755655649999994,9.252695489999998e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,20
55,2019,3,10,AF,Undefined,Ghowr,Tulak,63.731321083333334,33.951041749999995,8.732100212500001e-06,0.88,9.0,0.0,2,0.0,6,0.0,24
56,2019,3,10,AF,Undefined,Helmand,Gereshk,64.628558,31.724058599999996,1.438730785e-05,1.0,9.0,0.0,2,0.0,6,0.0,10
57,2019,3,10,AF,Undefined,Helmand,Hukumat-e Nad `Ali,64.08996438888889,31.61336522222222,1.4928533388888892e-05,1.0,9.0,0.0,2,0.0,6,0.0,18
58,2019,3,10,AF,Undefined,Helmand,Khan Neshin,63.8094725217391,30.556477652173907,1.3769069206521739e-05,1.0,9.0,0.0,2,0.0,6,0.0,46
59,2019,3,10,AF,Undefined,Helmand,Lashkar Gah,64.42297543749999,31.488517937500006,1.645227078125e-05,1.0,9.0,0.0,2,0.0,6,0.0,16
60,2019,3,10,AF,Undefined,Helmand,Markaz-e Hukumat-e Darweshan,64.19291153658537,31.132630902439033,1.3453220414634142e-05,1.0,9.0,0.0,2,0.0,6,0.0,41
61,2019,3,10,AF,Undefined,Helmand,Musa Qal`ah,65.02719,32.388554,1.38294945e-05,1.0,9.0,,2,,6,,1
62,2019,3,10,AF,Undefined,Helmand,Now Zad,64.41751500000001,32.2251855,1.6421022500000002e-05,1.0,9.0,0.0,2,0.0,6,0.0,2
63,2019,3,10,AF,Undefined,Helmand,Sangin,64.868953,32.1610398,1.3353649399999999e-05,1.0,9.0,0.0,2,0.0,6,0.0,5
64,2019,3,10,AF,Undefined,Helmand,Washer,63.826564833333336,32.17264027777778,1.5125078888888892e-05,1.0,9.0,0.0,2,0.0,6,0.0,18
65,2019,3,10,AF,Undefined,Helmand,`Alaqahdari Dishu,63.29677239583333,30.42683147916667,1.2146630510416665e-05,1.0,9.0,0.0,2,0.0,6,0.0,48
66,2019,3,10,AF,Undefined,Herat,Adraskan,62.24075794117647,33.66276235294117,1.3790585028529405e-05,1.0,9.0,0.0,2,0.0,6,0.0,34
67,2019,3,10,AF,Undefined,Herat,Ghoriyan,61.484966,34.45277,1.1851168e-05,1.0,9.0,,2,,6,,1
68,2019,3,10,AF,Undefined,Herat,Herat,62.00725,34.53743,1.0317256e-05,1.0,9.0,,2,,6,,1
69,2019,3,10,AF,Undefined,Herat,Injil,62.4345455,34.234773000000004,1.3046746e-05,1.0,9.0,0.0,2,0.0,6,0.0,2
70,2019,3,10,AF,Undefined,Herat,Kafir Qala,60.989543125,34.580052249999994,1.13283683875e-05,1.0,9.0,0.0,2,0.0,6,0.0,8
71,2019,3,10,AF,Undefined,Herat,Kushk,61.91095837500001,33.3540905,1.158466125e-05,1.0,9.0,0.0,2,0.0,6,0.0,16
72,2019,3,10,AF,Undefined,Herat,Qal`ah-ye Farsi,63.234542297297295,33.76854548648648,8.866395700000003e-06,0.8799999999999997,9.0,0.0,2,0.0,6,0.0,37
73,2019,3,10,AF,Undefined,Herat,Qarah Bagh,61.63693428571429,34.76807771428571,1.0495880057142858e-05,1.0,9.0,0.0,2,0.0,6,0.0,7
74,2019,3,10,AF,Undefined,Herat,Rabat-e Sangi-ye Pa'in,61.994640000000004,34.600433,1.1212777000000001e-05,1.0,9.0,,2,,6,,1
75,2019,3,10,AF,Undefined,Herat,Shindand,62.1934488095238,33.34093238095239,1.3877100547619048e-05,1.0,9.0,0.0,2,0.0,6,0.0,21
76,2019,3,10,AF,Undefined,Herat,Tir Pul,61.4698796,34.7447394,1.073760512e-05,1.0,9.0,0.0,2,0.0,6,0.0,5
77,2019,3,10,AF,Undefined,Herat,Zindah Jan,61.78949725000001,34.545010375,1.2931189874999999e-05,1.0,9.0,0.0,2,0.0,6,0.0,8
78,2019,3,10,AF,Undefined,Kandahar,Amanzi,66.0328419090909,30.210731575757567,1.0941795757575759e-05,1.0,9.0,0.0,2,0.0,6,0.0,33
79,2019,3,10,AF,Undefined,Kandahar,Babasakhib,65.62188,31.574802000000002,1.5032187e-05,1.0,9.0,,2,,6,,1
80,2019,3,10,AF,Undefined,Kandahar,Chinar,65.1401288888889,32.019145888888886,1.1846327111111111e-05,1.0,9.0,0.0,2,0.0,6,0.0,9
81,2019,3,10,AF,Undefined,Kandahar,De Narkhel Kelay,65.49129672727273,32.43569481818182,8.408714181818181e-06,1.0,9.0,0.0,2,0.0,6,0.0,11
82,2019,3,10,AF,Undefined,Kandahar,Kandahar,65.80920438461538,31.502675461538463,1.6008691038461537e-05,1.0,9.0,0.0,2,0.0,6,0.0,13
83,2019,3,10,AF,Undefined,Kandahar,Khugyani,66.5597195,31.619495500000003,9.2912334875e-06,1.0,9.0,0.0,2,0.0,6,0.0,8
84,2019,3,10,AF,Undefined,Kandahar,Kishk-e Nakhud,65.04927542857142,31.619303238095238,1.288318969047619e-05,1.0,9.0,0.0,2,0.0,6,0.0,21
85,2019,3,10,AF,Undefined,Kandahar,Pashmul,65.4029216875,31.4600694375,1.3996186749999999e-05,1.0,9.0,0.0,2,0.0,6,0.0,16
86,2019,3,10,AF,Undefined,Kandahar,Spin Boldak,66.28076424999999,31.036884000000004,1.3033177291666666e-05,1.0,9.0,0.0,2,0.0,6,0.0,12
87,2019,3,10,AF,Undefined,Kandahar,Zamto Kelay,66.2381052,32.5628532,1.124852556e-05,0.952,9.0,0.0,2,0.0,6,0.0,5
88,2019,3,10,AF,Undefined,Kandahar,Ziarat-e Shah Maqsud,65.478549375,32.092017625,9.3615561125e-06,1.0,9.0,0.0,2,0.0,6,0.0,8
89,2019,3,10,AF,Undefined,Kunduz,Dowr-e Rabat,68.46462,36.6477465,9.1929705e-06,1.0,9.0,0.0,2,0.0,6,0.0,2
90,2019,3,10,AF,Undefined,Lowgar,Charkh,68.7858638,33.7374976,4.27415534e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,5
91,2019,3,10,AF,Undefined,Nimruz,Khash,62.793221388888874,31.534300796296296,1.6152230990740743e-05,1.0,9.0,0.0,2,0.0,6,0.0,54
92,2019,3,10,AF,Undefined,Nimruz,Mirabad,61.836466704918024,30.424028147540994,1.3769343326229513e-05,1.0,9.0,0.0,2,0.0,6,0.0,61
93,2019,3,10,AF,Undefined,Nimruz,Rudbar,62.60217220338984,30.14597827118644,1.2925140932203388e-05,1.0,9.0,0.0,2,0.0,6,0.0,59
94,2019,3,10,AF,Undefined,Oruzgan,Uruzgan,66.68363835714285,33.01212464285715,8.791678057142856e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,14
95,2019,3,10,AF,Undefined,Paktia,Zurmat,68.84038000000001,33.451190000000004,2.5839504e-06,0.88,9.0,,2,,6,,1
96,2019,3,10,AF,Undefined,Paktika,Gomal Kelay,68.69312175,32.424675,6.744614016666666e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,12
