,year,month,week,cc_pays,cc_departement,cc_region,cc_ville,longitude,latitude,NO2,quality,hour_mean,hour_std,dayofweek_mean,dayofweek_std,day_mean,day_std,counter
0,2019,3,10,AD,Undefined,La Massana,Arinsal,1.3362247999999999,42.698826000000004,2.024927e-06,0.88,13.0,,0,,4,,1
1,2019,3,10,AE,Undefined,Abu Dhabi,Abu Dhabi,54.36704964814816,24.469961018518514,2.3821475648148148e-05,1.0,10.0,0.0,0,0.0,4,0.0,54
2,2019,3,10,AE,Undefined,Abu Dhabi,Al Ain,55.70196806666666,24.109417133333334,2.834728070000001e-05,1.0,10.0,0.0,0,0.0,4,0.0,30
3,2019,3,10,AE,Undefined,Abu Dhabi,Ar Ruways,52.72271921052633,24.11811054385965,2.312259320175438e-05,1.0,10.0,0.0,0,0.0,4,0.0,57
4,2019,3,10,AE,Undefined,Abu Dhabi,Muzayri`,53.79290582539682,23.149197079365084,2.0223674777777768e-05,0.9936507936507936,10.0,0.0,0,0.0,4,0.0,63
5,2019,3,10,AE,Undefined,Ajman,Ajman,55.36643006666667,25.47582073333333,3.7594396466666666e-05,1.0,10.0,0.0,0,0.0,4,0.0,15
6,2019,3,10,AE,Undefined,Al Fujayrah,Al Fujayrah,56.31822007692306,25.065274769230772,6.425498484615385e-05,1.0,10.0,0.0,0,0.0,4,0.0,26
7,2019,3,10,AE,Undefined,Al Fujayrah,Dibba Al-Fujairah,56.18376445454546,25.51855927272727,4.860103154545454e-05,1.0,10.0,0.0,0,0.0,4,0.0,11
8,2019,3,10,AE,Undefined,Al Fujayrah,Dibba Al-Hisn,56.329935611111104,25.711610055555557,2.8076826944444446e-05,1.0,10.0,0.0,0,0.0,4,0.0,18
9,2019,3,10,AE,Undefined,Ash Shariqah,Adh Dhayd,55.88112379411765,25.271925941176466,7.372785114705886e-05,1.0,10.0,0.0,0,0.0,4,0.0,34
10,2019,3,10,AE,Undefined,Ash Shariqah,Khawr Fakkan,56.39674542857142,25.34573561904762,4.081454023809525e-05,1.0,10.0,0.0,0,0.0,4,0.0,21
11,2019,3,10,AE,Undefined,Ash Shariqah,Sharjah,55.39176357894737,25.273466526315786,7.215543442105261e-05,1.0,10.0,0.0,0,0.0,4,0.0,19
12,2019,3,10,AE,Undefined,Dubai,Dubai,55.144084604651155,25.050412883720927,5.40866125116279e-05,1.0,10.0,0.0,0,0.0,4,0.0,43
13,2019,3,10,AE,Undefined,Ra's al Khaymah,Ras al-Khaimah,55.91577454545454,25.817627666666663,2.7836310696969704e-05,1.0,10.0,0.0,0,0.0,4,0.0,33
14,2019,3,10,AE,Undefined,Umm al Qaywayn,Umm al Qaywayn,55.571117999999984,25.614485769230765,2.635581416923077e-05,1.0,10.0,0.0,0,0.0,4,0.0,26
